ID,Plate Type,Primary Customer City,Primary Customer State,Registration Start Date,Registration Expiration Date,Registration Usage,Vehicle Type,Vehicle Weight,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Body,Primary Color,Vehicle Declared Gross Weight,Fuel Code,Vehicle Recorded GVWR,Vehicle Name,Type,Vehicle Category
429342,Motorcycle,LEDYARD,CT,09/20/2022,09/19/2025,Regular,Motorcycle,0,2021,ZIGGY,G5,MC,Gray,0,E00,0,ZIGGY,BEMC,Light-Duty (Class 1-2)
2641353,Passenger,NORWALK,CT,01/04/2024,01/03/2027,Regular,Passenger,0,2024,Polestar,2,4D,Gray,0,E00,0,Polestar 2,BEV,Light-Duty (Class 1-2)
2763182,Passenger,MERIDEN,CT,04/10/2024,04/09/2027,Regular,Passenger,0,2024,BMW,I5 M60,SD,Gray,0,E00,0,BMW I5 M60,BEV,Light-Duty (Class 1-2)
2763182,Passenger,MERIDEN,CT,04/10/2024,04/09/2027,Regular,Passenger,0,2024,BMW,I5 M60,SD,Gray,0,E00,0,BMW i5,BEV,Light-Duty (Class 1-2)
93,Passenger,GREENWICH,CT,08/19/2021,08/18/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Gray,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
225,Passenger,YANTIC,CT,08/19/2021,08/18/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,SU,White,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
244,Passenger,WINDSOR LOCKS,CT,08/07/2021,08/06/2024,Regular,Passenger,0,2017,Chevrolet,Volt Lt,4H,Gray,0,H04,0,Chevrolet Volt,PHEV,Light-Duty (Class 1-2)
2866948,Passenger,UNIONVILLE,CT,05/29/2024,05/28/2027,Regular,Passenger,0,2023,KIA,Ev6 Gt,4H,Blue,0,E00,0,Kia EV6,BEV,Light-Duty (Class 1-2)
255,Passenger,NEW PRESTON,CT,07/27/2021,07/26/2024,Regular,Passenger,0,2018,Tesla,Model 3,4D,Red,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
277,Passenger,LEDYARD,CT,08/07/2021,08/06/2024,Regular,Passenger,0,2018,Chevrolet,Volt Lt,4D,Red,0,H04,0,Chevrolet Volt,PHEV,Light-Duty (Class 1-2)
