zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
85321,176,Ajo Improvement Co,AZ,Bundled,Investor Owned,0.10399300495482366,0,0.11708505058074185
36560,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36513,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36280,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35473,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35229,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36375,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36370,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35555,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36832,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36505,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35452,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36110,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35442,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35211,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36043,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35184,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35171,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35055,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36054,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36782,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35907,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36850,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36507,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36079,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35073,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35019,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36092,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35150,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36376,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36006,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35080,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35114,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35208,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35116,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
35580,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36066,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36444,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36276,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36509,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36027,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
36033,195,Alabama Power Co,AL,Bundled,Investor Owned,0.14091491816162421,0.07670691021743542,0.1590228398881314
